date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:06	166/166	---M-Z	200	added ('OK')	text/plain	etag:%2209fcb5c8555d91:0%22	https://www.w3schools.com/robots.txt		(from )
21:40:07	107043/107043	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2013:39:08%20GMT	https://www.w3schools.com/js/	C:/My%20Web%20Sites/javascript/www.w3schools.com/js/index.html	(from )
21:40:07	63593/63593	---M-Z	200	added ('OK')	text/css	etag:%2209fcb5c8555d91:0+gzip%22	https://www.w3schools.com/lib/w3schools31.css	C:/My%20Web%20Sites/javascript/www.w3schools.com/lib/w3schools31.css	(from https://www.w3schools.com/js/)
21:40:08	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2014%20Mar%202023%2016:40:47%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/javascript/www.googletagmanager.com/gtm.15445.delayed	(from https://www.w3schools.com/js/)
21:40:09	70128/70128	---M-Z	200	added ('OK')	application/javascript	etag:%2209fcb5c8555d91:0+gzip%22	https://www.w3schools.com/lib/uic.js?v=1.0.5	C:/My%20Web%20Sites/javascript/www.w3schools.com/lib/uic3447.js	(from https://www.w3schools.com/js/)
21:40:10	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Mar%202023%2016:40:48%20GMT	https://www.w3schools.com/js/numpy/	C:/My%20Web%20Sites/javascript/www.w3schools.com/js/numpy/index.html	(from https://www.w3schools.com/js/)
21:40:10	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Mar%202023%2016:40:49%20GMT	https://www.w3schools.com/js/python/	C:/My%20Web%20Sites/javascript/www.w3schools.com/js/python/index.html	(from https://www.w3schools.com/js/)
21:40:10	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Mar%202023%2016:40:49%20GMT	https://www.w3schools.com/js/pandas/	C:/My%20Web%20Sites/javascript/www.w3schools.com/js/pandas/index.html	(from https://www.w3schools.com/js/)
21:40:11	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Mar%202023%2016:40:49%20GMT	https://www.w3schools.com/js/scipy/	C:/My%20Web%20Sites/javascript/www.w3schools.com/js/scipy/index.html	(from https://www.w3schools.com/js/)
21:40:11	5694/5694	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2014%20Mar%202023%2016:40:49%20GMT	https://cdn.snigelweb.com/adengine/w3schools.com/loader.js	C:/My%20Web%20Sites/javascript/cdn.snigelweb.com/adengine/w3schools.com/loader.3.delayed	(from https://www.w3schools.com/js/)
21:40:11	2807/2807	---M-Z	200	added ('OK')	application/javascript	etag:%22022fa107956d91:0+gzip%22	https://www.w3schools.com/lib/common-deps.js?v=1.0.0	C:/My%20Web%20Sites/javascript/www.w3schools.com/lib/common-depse209.js	(from https://www.w3schools.com/js/)
21:40:12	8922/8922	---M-Z	200	added ('OK')	application/javascript	etag:%22022fa107956d91:0+gzip%22	https://www.w3schools.com/lib/user-session.js?v=1.0.2	C:/My%20Web%20Sites/javascript/www.w3schools.com/lib/user-session0ff5.js	(from https://www.w3schools.com/js/)
21:40:13	18640/18640	---M-Z	200	added ('OK')	application/javascript	etag:%22022fa107956d91:0+gzip%22	https://www.w3schools.com/lib/my-learning.js?v=1.0.11	C:/My%20Web%20Sites/javascript/www.w3schools.com/lib/my-learning248b.js	(from https://www.w3schools.com/js/)
21:40:14	107043/107043	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2013:39:45%20GMT	https://www.w3schools.com/js/default.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/js/default.html	(from https://www.w3schools.com/js/)
21:40:15	98314/98314	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2013:41:07%20GMT	https://www.w3schools.com/js/js_json_intro.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/js/js_json_intro.html	(from https://www.w3schools.com/js/)
21:40:15	99026/99026	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2013:43:33%20GMT	https://www.w3schools.com/js/js_ajax_intro.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/js/js_ajax_intro.html	(from https://www.w3schools.com/js/)
21:40:17	102305/102305	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2013:55:33%20GMT	https://www.w3schools.com/js/js_exercises.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/js/js_exercises.html	(from https://www.w3schools.com/js/)
